candidate_number,name,display_name,nickname_or_handle,card_title_draft,primary_projects_to_verify,category,candidate_strength,validation_status,portrait_status,manual_review_notes,source_url_1,source_url_2,portrait_reference_url_1,portrait_reference_url_2,selected_for_final_deck
162,Michael Crosby,Michael Crosby,crosbymichael,containerd / Docker,containerd; Docker; runC ecosystem,Containers,strong,needs_source_validation,verified likeness likely,,,,,,no
163,Alex Ellis,Alex Ellis,alexellisuk,OpenFaaS,OpenFaaS; arkade; faas-cli,Cloud native,strong,needs_source_validation,verified likeness likely,,,,,,no
164,Jordan Hubbard,Jordan Hubbard,,FreeBSD,FreeBSD,BSD,strong,needs_source_validation,verified likeness likely,,,,,,no
165,Poul-Henning Kamp,Poul-Henning Kamp,phk,FreeBSD / Varnish,FreeBSD; Varnish Cache; timekeeping/randomness work,BSD / web infrastructure,strong,needs_source_validation,verified likeness likely,,,,,,no
166,Robert Watson,Robert Watson,,FreeBSD / Capsicum,FreeBSD; Capsicum; OpenBSM,BSD / security,strong,needs_source_validation,verified likeness likely,,,,,,no
167,Matthew Dillon,Matthew Dillon,,DragonFly BSD,DragonFly BSD; FreeBSD VM work,BSD,strong,needs_source_validation,portrait manual review likely,,,,,,no
168,Charles M. Hannum,Charles M. Hannum,,NetBSD,NetBSD,BSD,strong,needs_source_validation,portrait manual review likely,,,,,,no
169,Patrick Volkerding,Patrick Volkerding,,Slackware,Slackware Linux,Linux distributions,strong,needs_source_validation,verified likeness likely,,,,,,no
170,Gaël Duval,Gaël Duval,,Mandrake / /e/OS,Mandrake/Mandriva Linux; /e/OS ecosystem,Linux distributions / mobile,medium,needs_source_validation,verified likeness likely,,,,,,no
171,Daniel Robbins,Daniel Robbins,drobbins,Gentoo,Gentoo Linux; Funtoo,Linux distributions,strong,needs_source_validation,verified likeness likely,,,,,,no
172,Judd Vinet,Judd Vinet,,Arch Linux,Arch Linux; Pacman,Linux distributions,strong,needs_source_validation,portrait manual review likely,,,,,,no
173,Aaron Griffin,Aaron Griffin,,Arch Linux,Arch Linux leadership/maintenance,Linux distributions,medium,needs_source_validation,verified likeness likely,Verify exact role and final-card strength.,,,,,no
174,Clement Lefebvre,Clement Lefebvre,Clem,Linux Mint,Linux Mint; Cinnamon desktop,Linux distributions / desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
175,Jason A. Donenfeld,Jason A. Donenfeld,zx2c4,WireGuard,WireGuard; pass; cgit contributions,Networking / security,strong,needs_source_validation,verified likeness likely,,,,,,no
176,Andrew Morton,Andrew Morton,akpm,Linux kernel,Linux kernel mm tree/maintainer work,Kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
177,Theodore Ts'o,Theodore Ts'o,tytso,ext filesystems / Linux,ext2/ext3/ext4; Linux kernel,Kernel / filesystems,strong,needs_source_validation,verified likeness likely,,,,,,no
178,Ingo Molnár,Ingo Molnár,mingo,Linux scheduler/performance,Linux scheduler; kernel performance work,Kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
179,David S. Miller,David S. Miller,davem,Linux networking,Linux networking; SPARC/Linux work,Kernel / networking,strong,needs_source_validation,portrait manual review likely,,,,,,no
180,Rusty Russell,Rusty Russell,,netfilter / Linux modules,netfilter/iptables; Linux kernel modules; ccan,Kernel / networking,strong,needs_source_validation,verified likeness likely,,,,,,no
181,Harald Welte,Harald Welte,LaForge,netfilter / Openmoko,netfilter/iptables; Openmoko; Osmocom,Kernel / mobile / telecom,strong,needs_source_validation,verified likeness likely,,,,,,no
182,Valerie Aurora,Valerie Aurora,,Linux filesystems / OSS advocacy,Linux kernel filesystems; Ada Initiative; Double Union,Kernel / advocacy,medium,needs_source_validation,verified likeness likely,Verify card angle carefully.,,,,,no
183,Sarah Sharp,Sarah Sharp,,Linux USB,Linux xHCI/USB 3.0 driver work,Kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
184,Julia Lawall,Julia Lawall,,Coccinelle / Linux kernel tooling,Coccinelle; Linux kernel semantic patching,Kernel tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
185,Linus Walleij,Linus Walleij,linusw,Linux ARM/GPIO,Linux kernel ARM/GPIO/pinctrl work,Kernel,medium,needs_source_validation,verified likeness likely,,,,,,no
186,Dave Airlie,Dave Airlie,airlied,Linux graphics,Linux DRM subsystem; Mesa graphics ecosystem,Graphics / kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
187,Kristian Høgsberg,Kristian Høgsberg,krh,Wayland,Wayland; DRI/graphics stack,Graphics / desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
188,Daniel Stone,Daniel Stone,daniels,Wayland / Mesa / X.Org,Wayland; Mesa; X.Org; Collabora graphics work,Graphics / desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
189,Brian Paul,Brian Paul,,Mesa,Mesa 3D,Graphics,strong,needs_source_validation,portrait manual review likely,,,,,,no
190,Rob Clark,Rob Clark,robclark,Freedreno / Mesa,Freedreno; Mesa; Linux graphics,Graphics / drivers,strong,needs_source_validation,verified likeness likely,,,,,,no
191,Alyssa Rosenzweig,Alyssa Rosenzweig,alyssa,Panfrost / Asahi graphics,Panfrost; Asahi Linux GPU drivers; Mesa,Graphics / drivers,strong,needs_source_validation,verified likeness likely,,,,,,no
192,Hector Martin,Hector Martin / marcan,marcan,Asahi Linux,Asahi Linux; Linux-on-Apple-Silicon reverse engineering,Linux / hardware,strong,needs_source_validation,verified likeness likely,,,,,,no
193,Drew DeVault,Drew DeVault,sircmpwn,sway / wlroots / SourceHut,sway; wlroots; SourceHut; Hare,Desktop / tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
194,Simon Ser,Simon Ser,emersion,Wayland / wlroots,wlroots; Wayland protocols/tools,Desktop / graphics,strong,needs_source_validation,portrait manual review likely,,,,,,no
195,Andreas Kling,Andreas Kling,awesomekling,SerenityOS / Ladybird,SerenityOS; Ladybird browser,Operating systems / browsers,strong,needs_source_validation,verified likeness likely,,,,,,no
196,Sam Lantinga,Sam Lantinga,slouken,SDL,Simple DirectMedia Layer,Game/dev libraries,strong,needs_source_validation,verified likeness likely,,,,,,no
197,Ryan C. Gordon,Ryan C. Gordon / icculus,icculus,SDL / Linux games,icculus.org ports; PhysicsFS; game-dev OSS,Game/dev libraries,strong,needs_source_validation,verified likeness likely,,,,,,no
198,Ton Roosendaal,Ton Roosendaal,,Blender,Blender; Blender Foundation,Creative software,strong,needs_source_validation,verified likeness likely,,,,,,no
199,Spencer Kimball,Spencer Kimball,,GIMP,GIMP,Creative software,strong,needs_source_validation,verified likeness likely,,,,,,no
200,Peter Mattis,Peter Mattis,,GIMP,GIMP; GTK early ecosystem,Creative software,strong,needs_source_validation,verified likeness likely,,,,,,no
